"text","happy","sad","anger","anxiety"
"Gün içinde her şey daha aydınlık görünmeye başladı, bu yüzden yaptığım işlere daha istekli yaklaştım.","1","0","0","0"
"Gün içinde her şey daha aydınlık görünmeye başladı, bu yüzden içimde uzun süredir olmayan bir huzur vardı.","1","0","0","0"
"Gün içinde her şey daha aydınlık görünmeye başladı, bu yüzden kendimi gerçekten iyi ve dengeli hissettim.","1","0","0","0"
"Gün içinde yüzümde doğal bir gülümseme oluştu ve günün geri kalanını daha umutlu geçirdim.","1","0","0","0"
"Gün içinde yüzümde doğal bir gülümseme oluştu ve küçük şeylerden bile zevk almaya başladım.","1","0","0","0"
"Gün içinde yüzümde doğal bir gülümseme oluştu ve yaptığım işlere daha istekli yaklaştım.","1","0","0","0"
"Gün içinde yüzümde doğal bir gülümseme oluştu ve içimde uzun süredir olmayan bir huzur vardı.","1","0","0","0"
"Gün içinde yüzümde doğal bir gülümseme oluştu ve kendimi gerçekten iyi ve dengeli hissettim.","1","0","0","0"
"Akşam eve dönerken içimde sakin bir mutluluk hissettim ve günün geri kalanını daha umutlu geçirdim.","1","0","0","0"
"Akşam eve dönerken içimde sakin bir mutluluk hissettim ve küçük şeylerden bile zevk almaya başladım.","1","0","0","0"
"Akşam eve dönerken içimde sakin bir mutluluk hissettim ve yaptığım işlere daha istekli yaklaştım.","1","0","0","0"
"Akşam eve dönerken içimde sakin bir mutluluk hissettim ve içimde uzun süredir olmayan bir huzur vardı.","1","0","0","0"
"Akşam eve dönerken içimde sakin bir mutluluk hissettim ve kendimi gerçekten iyi ve dengeli hissettim.","1","0","0","0"
"Akşam eve dönerken kendimi oldukça enerjik ve keyifli hissettim, bu yüzden günün geri kalanını daha umutlu geçirdim.","1","0","0","0"
"Akşam eve dönerken kendimi oldukça enerjik ve keyifli hissettim, bu yüzden küçük şeylerden bile zevk almaya başladım.","1","0","0","0"
"Akşam eve dönerken kendimi oldukça enerjik ve keyifli hissettim, bu yüzden yaptığım işlere daha istekli yaklaştım.","1","0","0","0"
"Akşam eve dönerken kendimi oldukça enerjik ve keyifli hissettim, bu yüzden içimde uzun süredir olmayan bir huzur vardı.","1","0","0","0"
"Akşam eve dönerken kendimi oldukça enerjik ve keyifli hissettim, bu yüzden kendimi gerçekten iyi ve dengeli hissettim.","1","0","0","0"
"Akşam eve dönerken moralim belirgin şekilde yükseldi ve günün geri kalanını daha umutlu geçirdim.","1","0","0","0"
"Akşam eve dönerken moralim belirgin şekilde yükseldi ve küçük şeylerden bile zevk almaya başladım.","1","0","0","0"
"Akşam eve dönerken moralim belirgin şekilde yükseldi ve yaptığım işlere daha istekli yaklaştım.","1","0","0","0"
"Akşam eve dönerken moralim belirgin şekilde yükseldi ve içimde uzun süredir olmayan bir huzur vardı.","1","0","0","0"
"Akşam eve dönerken moralim belirgin şekilde yükseldi ve kendimi gerçekten iyi ve dengeli hissettim.","1","0","0","0"
"Akşam eve dönerken her şey daha aydınlık görünmeye başladı, bu yüzden günün geri kalanını daha umutlu geçirdim.","1","0","0","0"
"Akşam eve dönerken her şey daha aydınlık görünmeye başladı, bu yüzden küçük şeylerden bile zevk almaya başladım.","1","0","0","0"
"Akşam eve dönerken her şey daha aydınlık görünmeye başladı, bu yüzden yaptığım işlere daha istekli yaklaştım.","1","0","0","0"
"Akşam eve dönerken her şey daha aydınlık görünmeye başladı, bu yüzden içimde uzun süredir olmayan bir huzur vardı.","1","0","0","0"
"Akşam eve dönerken her şey daha aydınlık görünmeye başladı, bu yüzden kendimi gerçekten iyi ve dengeli hissettim.","1","0","0","0"
"Akşam eve dönerken yüzümde doğal bir gülümseme oluştu ve günün geri kalanını daha umutlu geçirdim.","1","0","0","0"
"Akşam eve dönerken yüzümde doğal bir gülümseme oluştu ve küçük şeylerden bile zevk almaya başladım.","1","0","0","0"
"Akşam eve dönerken yüzümde doğal bir gülümseme oluştu ve yaptığım işlere daha istekli yaklaştım.","1","0","0","0"
"Akşam eve dönerken yüzümde doğal bir gülümseme oluştu ve içimde uzun süredir olmayan bir huzur vardı.","1","0","0","0"
"Akşam eve dönerken yüzümde doğal bir gülümseme oluştu ve kendimi gerçekten iyi ve dengeli hissettim.","1","0","0","0"
"Uzun bir aradan sonra içimde sakin bir mutluluk hissettim ve günün geri kalanını daha umutlu geçirdim.","1","0","0","0"
"Uzun bir aradan sonra içimde sakin bir mutluluk hissettim ve küçük şeylerden bile zevk almaya başladım.","1","0","0","0"
"Uzun bir aradan sonra içimde sakin bir mutluluk hissettim ve yaptığım işlere daha istekli yaklaştım.","1","0","0","0"
"Uzun bir aradan sonra içimde sakin bir mutluluk hissettim ve içimde uzun süredir olmayan bir huzur vardı.","1","0","0","0"
"Uzun bir aradan sonra içimde sakin bir mutluluk hissettim ve kendimi gerçekten iyi ve dengeli hissettim.","1","0","0","0"
"Uzun bir aradan sonra kendimi oldukça enerjik ve keyifli hissettim, bu yüzden günün geri kalanını daha umutlu geçirdim.","1","0","0","0"
"Uzun bir aradan sonra kendimi oldukça enerjik ve keyifli hissettim, bu yüzden küçük şeylerden bile zevk almaya başladım.","1","0","0","0"
"Uzun bir aradan sonra kendimi oldukça enerjik ve keyifli hissettim, bu yüzden yaptığım işlere daha istekli yaklaştım.","1","0","0","0"
"Uzun bir aradan sonra kendimi oldukça enerjik ve keyifli hissettim, bu yüzden içimde uzun süredir olmayan bir huzur vardı.","1","0","0","0"
"Uzun bir aradan sonra kendimi oldukça enerjik ve keyifli hissettim, bu yüzden kendimi gerçekten iyi ve dengeli hissettim.","1","0","0","0"
"Uzun bir aradan sonra moralim belirgin şekilde yükseldi ve günün geri kalanını daha umutlu geçirdim.","1","0","0","0"
"Uzun bir aradan sonra moralim belirgin şekilde yükseldi ve küçük şeylerden bile zevk almaya başladım.","1","0","0","0"
"Uzun bir aradan sonra moralim belirgin şekilde yükseldi ve yaptığım işlere daha istekli yaklaştım.","1","0","0","0"
"Uzun bir aradan sonra moralim belirgin şekilde yükseldi ve içimde uzun süredir olmayan bir huzur vardı.","1","0","0","0"
"Uzun bir aradan sonra moralim belirgin şekilde yükseldi ve kendimi gerçekten iyi ve dengeli hissettim.","1","0","0","0"
"Uzun bir aradan sonra her şey daha aydınlık görünmeye başladı, bu yüzden günün geri kalanını daha umutlu geçirdim.","1","0","0","0"
"Uzun bir aradan sonra her şey daha aydınlık görünmeye başladı, bu yüzden küçük şeylerden bile zevk almaya başladım.","1","0","0","0"
"Uzun bir aradan sonra her şey daha aydınlık görünmeye başladı, bu yüzden yaptığım işlere daha istekli yaklaştım.","1","0","0","0"
"Uzun bir aradan sonra her şey daha aydınlık görünmeye başladı, bu yüzden içimde uzun süredir olmayan bir huzur vardı.","1","0","0","0"
"Uzun bir aradan sonra her şey daha aydınlık görünmeye başladı, bu yüzden kendimi gerçekten iyi ve dengeli hissettim.","1","0","0","0"
"Uzun bir aradan sonra yüzümde doğal bir gülümseme oluştu ve günün geri kalanını daha umutlu geçirdim.","1","0","0","0"
"Uzun bir aradan sonra yüzümde doğal bir gülümseme oluştu ve küçük şeylerden bile zevk almaya başladım.","1","0","0","0"
"Uzun bir aradan sonra yüzümde doğal bir gülümseme oluştu ve yaptığım işlere daha istekli yaklaştım.","1","0","0","0"
"Uzun bir aradan sonra yüzümde doğal bir gülümseme oluştu ve içimde uzun süredir olmayan bir huzur vardı.","1","0","0","0"
"Uzun bir aradan sonra yüzümde doğal bir gülümseme oluştu ve kendimi gerçekten iyi ve dengeli hissettim.","1","0","0","0"
"Bugün kendime bakınca içimde sakin bir mutluluk hissettim ve günün geri kalanını daha umutlu geçirdim.","1","0","0","0"
"Bugün kendime bakınca içimde sakin bir mutluluk hissettim ve küçük şeylerden bile zevk almaya başladım.","1","0","0","0"
"Bugün kendime bakınca içimde sakin bir mutluluk hissettim ve yaptığım işlere daha istekli yaklaştım.","1","0","0","0"
"Bugün kendime bakınca içimde sakin bir mutluluk hissettim ve içimde uzun süredir olmayan bir huzur vardı.","1","0","0","0"
"Bugün kendime bakınca içimde sakin bir mutluluk hissettim ve kendimi gerçekten iyi ve dengeli hissettim.","1","0","0","0"
"Bugün kendime bakınca kendimi oldukça enerjik ve keyifli hissettim, bu yüzden günün geri kalanını daha umutlu geçirdim.","1","0","0","0"
"Bugün kendime bakınca kendimi oldukça enerjik ve keyifli hissettim, bu yüzden küçük şeylerden bile zevk almaya başladım.","1","0","0","0"
"Bugün kendime bakınca kendimi oldukça enerjik ve keyifli hissettim, bu yüzden yaptığım işlere daha istekli yaklaştım.","1","0","0","0"
"Bugün kendime bakınca kendimi oldukça enerjik ve keyifli hissettim, bu yüzden içimde uzun süredir olmayan bir huzur vardı.","1","0","0","0"
"Bugün kendime bakınca kendimi oldukça enerjik ve keyifli hissettim, bu yüzden kendimi gerçekten iyi ve dengeli hissettim.","1","0","0","0"
"Bugün kendime bakınca moralim belirgin şekilde yükseldi ve günün geri kalanını daha umutlu geçirdim.","1","0","0","0"
"Bugün kendime bakınca moralim belirgin şekilde yükseldi ve küçük şeylerden bile zevk almaya başladım.","1","0","0","0"
"Bugün kendime bakınca moralim belirgin şekilde yükseldi ve yaptığım işlere daha istekli yaklaştım.","1","0","0","0"
"Bugün kendime bakınca moralim belirgin şekilde yükseldi ve içimde uzun süredir olmayan bir huzur vardı.","1","0","0","0"
"Bugün kendime bakınca moralim belirgin şekilde yükseldi ve kendimi gerçekten iyi ve dengeli hissettim.","1","0","0","0"
"Bugün kendime bakınca her şey daha aydınlık görünmeye başladı, bu yüzden günün geri kalanını daha umutlu geçirdim.","1","0","0","0"
"Bugün kendime bakınca her şey daha aydınlık görünmeye başladı, bu yüzden küçük şeylerden bile zevk almaya başladım.","1","0","0","0"
"Bugün kendime bakınca her şey daha aydınlık görünmeye başladı, bu yüzden yaptığım işlere daha istekli yaklaştım.","1","0","0","0"
"Bugün kendime bakınca her şey daha aydınlık görünmeye başladı, bu yüzden içimde uzun süredir olmayan bir huzur vardı.","1","0","0","0"
"Bugün kendime bakınca her şey daha aydınlık görünmeye başladı, bu yüzden kendimi gerçekten iyi ve dengeli hissettim.","1","0","0","0"
"Bugün kendime bakınca yüzümde doğal bir gülümseme oluştu ve günün geri kalanını daha umutlu geçirdim.","1","0","0","0"
"Bugün kendime bakınca yüzümde doğal bir gülümseme oluştu ve küçük şeylerden bile zevk almaya başladım.","1","0","0","0"
"Bugün kendime bakınca yüzümde doğal bir gülümseme oluştu ve yaptığım işlere daha istekli yaklaştım.","1","0","0","0"
"Bugün kendime bakınca yüzümde doğal bir gülümseme oluştu ve içimde uzun süredir olmayan bir huzur vardı.","1","0","0","0"
"Bugün kendime bakınca yüzümde doğal bir gülümseme oluştu ve kendimi gerçekten iyi ve dengeli hissettim.","1","0","0","0"
"Bugün sabah kalktığımda içimde belirgin bir hüzün vardı ve hiçbir şey yapmak içimden gelmedi.","0","1","0","0"
"Bugün sabah kalktığımda içimde belirgin bir hüzün vardı ve günün temposuna ayak uydurmakta zorlandım.","0","1","0","0"
"Bugün sabah kalktığımda içimde belirgin bir hüzün vardı ve sürekli içime kapanma isteği duydum.","0","1","0","0"
"Bugün sabah kalktığımda içimde belirgin bir hüzün vardı ve küçük şeyler bile beni kırmaya yetti.","0","1","0","0"
"Bugün sabah kalktığımda içimde belirgin bir hüzün vardı ve sessiz kalıp biraz yalnız kalmak istedim.","0","1","0","0"
"Bugün sabah kalktığımda moralim düşüktü, bu yüzden hiçbir şey yapmak içimden gelmedi.","0","1","0","0"
"Bugün sabah kalktığımda moralim düşüktü, bu yüzden günün temposuna ayak uydurmakta zorlandım.","0","1","0","0"
"Bugün sabah kalktığımda moralim düşüktü, bu yüzden sürekli içime kapanma isteği duydum.","0","1","0","0"
"Bugün sabah kalktığımda moralim düşüktü, bu yüzden küçük şeyler bile beni kırmaya yetti.","0","1","0","0"
"Bugün sabah kalktığımda moralim düşüktü, bu yüzden sessiz kalıp biraz yalnız kalmak istedim.","0","1","0","0"
"Bugün sabah kalktığımda kendimi duygusal olarak yorgun hissettim ve hiçbir şey yapmak içimden gelmedi.","0","1","0","0"
"Bugün sabah kalktığımda kendimi duygusal olarak yorgun hissettim ve günün temposuna ayak uydurmakta zorlandım.","0","1","0","0"
"Bugün sabah kalktığımda kendimi duygusal olarak yorgun hissettim ve sürekli içime kapanma isteği duydum.","0","1","0","0"
"Bugün sabah kalktığımda kendimi duygusal olarak yorgun hissettim ve küçük şeyler bile beni kırmaya yetti.","0","1","0","0"
"Bugün sabah kalktığımda kendimi duygusal olarak yorgun hissettim ve sessiz kalıp biraz yalnız kalmak istedim.","0","1","0","0"
"Bugün sabah kalktığımda neşem kolayca yerine gelmedi, bu yüzden hiçbir şey yapmak içimden gelmedi.","0","1","0","0"
"Bugün sabah kalktığımda neşem kolayca yerine gelmedi, bu yüzden günün temposuna ayak uydurmakta zorlandım.","0","1","0","0"
"Bugün sabah kalktığımda neşem kolayca yerine gelmedi, bu yüzden sürekli içime kapanma isteği duydum.","0","1","0","0"
"Bugün sabah kalktığımda neşem kolayca yerine gelmedi, bu yüzden küçük şeyler bile beni kırmaya yetti.","0","1","0","0"
"Bugün sabah kalktığımda neşem kolayca yerine gelmedi, bu yüzden sessiz kalıp biraz yalnız kalmak istedim.","0","1","0","0"
"Bugün sabah kalktığımda sanki üzerimde görünmeyen bir ağırlık vardı ve hiçbir şey yapmak içimden gelmedi.","0","1","0","0"
"Bugün sabah kalktığımda sanki üzerimde görünmeyen bir ağırlık vardı ve günün temposuna ayak uydurmakta zorlandım.","0","1","0","0"
"Bugün sabah kalktığımda sanki üzerimde görünmeyen bir ağırlık vardı ve sürekli içime kapanma isteği duydum.","0","1","0","0"
"Bugün sabah kalktığımda sanki üzerimde görünmeyen bir ağırlık vardı ve küçük şeyler bile beni kırmaya yetti.","0","1","0","0"
"Bugün sabah kalktığımda sanki üzerimde görünmeyen bir ağırlık vardı ve sessiz kalıp biraz yalnız kalmak istedim.","0","1","0","0"
"Gün boyunca içimde belirgin bir hüzün vardı ve hiçbir şey yapmak içimden gelmedi.","0","1","0","0"
"Gün boyunca içimde belirgin bir hüzün vardı ve günün temposuna ayak uydurmakta zorlandım.","0","1","0","0"
"Gün boyunca içimde belirgin bir hüzün vardı ve sürekli içime kapanma isteği duydum.","0","1","0","0"
"Gün boyunca içimde belirgin bir hüzün vardı ve küçük şeyler bile beni kırmaya yetti.","0","1","0","0"
"Gün boyunca içimde belirgin bir hüzün vardı ve sessiz kalıp biraz yalnız kalmak istedim.","0","1","0","0"
"Gün boyunca moralim düşüktü, bu yüzden hiçbir şey yapmak içimden gelmedi.","0","1","0","0"
"Gün boyunca moralim düşüktü, bu yüzden günün temposuna ayak uydurmakta zorlandım.","0","1","0","0"
"Gün boyunca moralim düşüktü, bu yüzden sürekli içime kapanma isteği duydum.","0","1","0","0"
"Gün boyunca moralim düşüktü, bu yüzden küçük şeyler bile beni kırmaya yetti.","0","1","0","0"
"Gün boyunca moralim düşüktü, bu yüzden sessiz kalıp biraz yalnız kalmak istedim.","0","1","0","0"
"Gün boyunca kendimi duygusal olarak yorgun hissettim ve hiçbir şey yapmak içimden gelmedi.","0","1","0","0"
"Gün boyunca kendimi duygusal olarak yorgun hissettim ve günün temposuna ayak uydurmakta zorlandım.","0","1","0","0"
"Gün boyunca kendimi duygusal olarak yorgun hissettim ve sürekli içime kapanma isteği duydum.","0","1","0","0"
"Gün boyunca kendimi duygusal olarak yorgun hissettim ve küçük şeyler bile beni kırmaya yetti.","0","1","0","0"
"Gün boyunca kendimi duygusal olarak yorgun hissettim ve sessiz kalıp biraz yalnız kalmak istedim.","0","1","0","0"
"Gün boyunca neşem kolayca yerine gelmedi, bu yüzden hiçbir şey yapmak içimden gelmedi.","0","1","0","0"
"Gün boyunca neşem kolayca yerine gelmedi, bu yüzden günün temposuna ayak uydurmakta zorlandım.","0","1","0","0"
"Gün boyunca neşem kolayca yerine gelmedi, bu yüzden sürekli içime kapanma isteği duydum.","0","1","0","0"
"Gün boyunca neşem kolayca yerine gelmedi, bu yüzden küçük şeyler bile beni kırmaya yetti.","0","1","0","0"
"Gün boyunca neşem kolayca yerine gelmedi, bu yüzden sessiz kalıp biraz yalnız kalmak istedim.","0","1","0","0"
"Gün boyunca sanki üzerimde görünmeyen bir ağırlık vardı ve hiçbir şey yapmak içimden gelmedi.","0","1","0","0"
"Gün boyunca sanki üzerimde görünmeyen bir ağırlık vardı ve günün temposuna ayak uydurmakta zorlandım.","0","1","0","0"
"Gün boyunca sanki üzerimde görünmeyen bir ağırlık vardı ve sürekli içime kapanma isteği duydum.","0","1","0","0"
"Gün boyunca sanki üzerimde görünmeyen bir ağırlık vardı ve küçük şeyler bile beni kırmaya yetti.","0","1","0","0"
"Gün boyunca sanki üzerimde görünmeyen bir ağırlık vardı ve sessiz kalıp biraz yalnız kalmak istedim.","0","1","0","0"
"Akşam saatlerine doğru içimde belirgin bir hüzün vardı ve hiçbir şey yapmak içimden gelmedi.","0","1","0","0"
"Akşam saatlerine doğru içimde belirgin bir hüzün vardı ve günün temposuna ayak uydurmakta zorlandım.","0","1","0","0"
"Akşam saatlerine doğru içimde belirgin bir hüzün vardı ve sürekli içime kapanma isteği duydum.","0","1","0","0"
"Akşam saatlerine doğru içimde belirgin bir hüzün vardı ve küçük şeyler bile beni kırmaya yetti.","0","1","0","0"
"Akşam saatlerine doğru içimde belirgin bir hüzün vardı ve sessiz kalıp biraz yalnız kalmak istedim.","0","1","0","0"
"Akşam saatlerine doğru moralim düşüktü, bu yüzden hiçbir şey yapmak içimden gelmedi.","0","1","0","0"
"Akşam saatlerine doğru moralim düşüktü, bu yüzden günün temposuna ayak uydurmakta zorlandım.","0","1","0","0"
"Akşam saatlerine doğru moralim düşüktü, bu yüzden sürekli içime kapanma isteği duydum.","0","1","0","0"
"Akşam saatlerine doğru moralim düşüktü, bu yüzden küçük şeyler bile beni kırmaya yetti.","0","1","0","0"
"Akşam saatlerine doğru moralim düşüktü, bu yüzden sessiz kalıp biraz yalnız kalmak istedim.","0","1","0","0"
"Akşam saatlerine doğru kendimi duygusal olarak yorgun hissettim ve hiçbir şey yapmak içimden gelmedi.","0","1","0","0"
"Akşam saatlerine doğru kendimi duygusal olarak yorgun hissettim ve günün temposuna ayak uydurmakta zorlandım.","0","1","0","0"
"Akşam saatlerine doğru kendimi duygusal olarak yorgun hissettim ve sürekli içime kapanma isteği duydum.","0","1","0","0"
"Akşam saatlerine doğru kendimi duygusal olarak yorgun hissettim ve küçük şeyler bile beni kırmaya yetti.","0","1","0","0"
"Akşam saatlerine doğru kendimi duygusal olarak yorgun hissettim ve sessiz kalıp biraz yalnız kalmak istedim.","0","1","0","0"
"Akşam saatlerine doğru neşem kolayca yerine gelmedi, bu yüzden hiçbir şey yapmak içimden gelmedi.","0","1","0","0"
"Akşam saatlerine doğru neşem kolayca yerine gelmedi, bu yüzden günün temposuna ayak uydurmakta zorlandım.","0","1","0","0"
"Akşam saatlerine doğru neşem kolayca yerine gelmedi, bu yüzden sürekli içime kapanma isteği duydum.","0","1","0","0"
"Akşam saatlerine doğru neşem kolayca yerine gelmedi, bu yüzden küçük şeyler bile beni kırmaya yetti.","0","1","0","0"
"Akşam saatlerine doğru neşem kolayca yerine gelmedi, bu yüzden sessiz kalıp biraz yalnız kalmak istedim.","0","1","0","0"
"Akşam saatlerine doğru sanki üzerimde görünmeyen bir ağırlık vardı ve hiçbir şey yapmak içimden gelmedi.","0","1","0","0"
"Akşam saatlerine doğru sanki üzerimde görünmeyen bir ağırlık vardı ve günün temposuna ayak uydurmakta zorlandım.","0","1","0","0"
"Akşam saatlerine doğru sanki üzerimde görünmeyen bir ağırlık vardı ve sürekli içime kapanma isteği duydum.","0","1","0","0"
"Akşam saatlerine doğru sanki üzerimde görünmeyen bir ağırlık vardı ve küçük şeyler bile beni kırmaya yetti.","0","1","0","0"
"Akşam saatlerine doğru sanki üzerimde görünmeyen bir ağırlık vardı ve sessiz kalıp biraz yalnız kalmak istedim.","0","1","0","0"
"İçimde nedensiz bir şekilde içimde belirgin bir hüzün vardı ve hiçbir şey yapmak içimden gelmedi.","0","1","0","0"
"İçimde nedensiz bir şekilde içimde belirgin bir hüzün vardı ve günün temposuna ayak uydurmakta zorlandım.","0","1","0","0"
"İçimde nedensiz bir şekilde içimde belirgin bir hüzün vardı ve sürekli içime kapanma isteği duydum.","0","1","0","0"
"İçimde nedensiz bir şekilde içimde belirgin bir hüzün vardı ve küçük şeyler bile beni kırmaya yetti.","0","1","0","0"
"İçimde nedensiz bir şekilde içimde belirgin bir hüzün vardı ve sessiz kalıp biraz yalnız kalmak istedim.","0","1","0","0"
"İçimde nedensiz bir şekilde moralim düşüktü, bu yüzden hiçbir şey yapmak içimden gelmedi.","0","1","0","0"
"İçimde nedensiz bir şekilde moralim düşüktü, bu yüzden günün temposuna ayak uydurmakta zorlandım.","0","1","0","0"
"İçimde nedensiz bir şekilde moralim düşüktü, bu yüzden sürekli içime kapanma isteği duydum.","0","1","0","0"
"İçimde nedensiz bir şekilde moralim düşüktü, bu yüzden küçük şeyler bile beni kırmaya yetti.","0","1","0","0"
"İçimde nedensiz bir şekilde moralim düşüktü, bu yüzden sessiz kalıp biraz yalnız kalmak istedim.","0","1","0","0"
"İçimde nedensiz bir şekilde kendimi duygusal olarak yorgun hissettim ve hiçbir şey yapmak içimden gelmedi.","0","1","0","0"
"İçimde nedensiz bir şekilde kendimi duygusal olarak yorgun hissettim ve günün temposuna ayak uydurmakta zorlandım.","0","1","0","0"
"İçimde nedensiz bir şekilde kendimi duygusal olarak yorgun hissettim ve sürekli içime kapanma isteği duydum.","0","1","0","0"
"İçimde nedensiz bir şekilde kendimi duygusal olarak yorgun hissettim ve küçük şeyler bile beni kırmaya yetti.","0","1","0","0"
"İçimde nedensiz bir şekilde kendimi duygusal olarak yorgun hissettim ve sessiz kalıp biraz yalnız kalmak istedim.","0","1","0","0"
"İçimde nedensiz bir şekilde neşem kolayca yerine gelmedi, bu yüzden hiçbir şey yapmak içimden gelmedi.","0","1","0","0"
"İçimde nedensiz bir şekilde neşem kolayca yerine gelmedi, bu yüzden günün temposuna ayak uydurmakta zorlandım.","0","1","0","0"
"İçimde nedensiz bir şekilde neşem kolayca yerine gelmedi, bu yüzden sürekli içime kapanma isteği duydum.","0","1","0","0"
